Product_Name, Pricing, Ratings 
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,66,036
Redmi 8A (Midnight Black| 32 GB),Rs.6499,4.41,08,086
Redmi 8A (Sunset Red| 32 GB),Rs.6999,4.498,298
Redmi 8 (Sapphire Blue| 64 GB),Rs.7999,4.44,11,776
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.10999,4.52,41,178
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.41,08,086
Redmi Note 7S (Sapphire Blue| 64 GB),Rs.9999,4.43,82,367
Redmi Note 7 Pro (Nebula Red| 64 GB),Rs.10999,4.52,41,178
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.498,298
Redmi Note 7 Pro (Space Black| 64 GB),Rs.10999,4.52,41,178
Redmi Note 7 Pro (Neptune Blue| 128 GB),Rs.12999,4.52,41,178
Redmi Go (Black| 8 GB),Rs.4299,4.31,51,863
Redmi Note 7S (Onyx Black| 32 GB),Rs.8999,4.42,86,484
Redmi Note 8 (Space Black| 128 GB),Rs.13193,4.45,974
Redmi Note 8 (Moonlight White| 128 GB),Rs.13599,4.45,974
Redmi Note 7 Pro (Astro Moonlight White| 64 GB),Rs.10999,4.52,41,178
Redmi Note 8 Pro (Shadow Black| 128 GB),Rs.16367,4.512,893
Redmi Note 8 Pro (Shadow Black| 64 GB),Rs.14298,4.512,893
Redmi Note 8 Pro (Gamma Green| 64 GB),Rs.14979,4.512,893
Redmi Note 8 (Moonlight White| 64 GB),Rs.11450,4.48,229
Redmi 8A (Midnight Black| 32 GB),Rs.6999,4.498,298
Redmi 7A (Matte Black| 32 GB),Rs.6199,4.33,41,822
Redmi Note 8 Pro (Gamma Green| 128 GB),Rs.18990,4.51,865
Redmi Note 7S (Onyx Black| 64 GB),Rs.9999,4.43,82,367
Product_Name, Pricing, Ratings 
Redmi Note 8 (Space Black| 64 GB),Rs.11450,4.48,229
Redmi Y3 (Prime Black| 32 GB),Rs.9395,4.317,897
Redmi Note 8 Pro (Halo White| 64 GB),Rs.14818,4.512,893
Mi A3 (Kind of Grey| 64 GB),Rs.11999,4.321,602
Redmi Note 7 Pro (Nebula Red| 128 GB),Rs.12999,4.52,41,178
Redmi 7A (Matte Blue| 16 GB),Rs.5999,4.33,41,822
Redmi Note 8 Pro (Gamma Green| 128 GB),Rs.16199,4.512,893
Redmi Note 8 Pro (Halo White| 128 GB),Rs.18133,4.51,865
Redmi Note 8 Pro (Halo White| 128 GB),Rs.16037,4.512,893
Redmi Note 8 Pro (Electric Blue| 128 GB),Rs.16137,4.512,893
Redmi Note 8 (Cosmic Purple| 64 GB),Rs.11377,4.48,229
Note 8 Pro (Electric blue| 64 GB),Rs.14938,4.211
Redmi K20 Pro (Glacier Blue| 128 GB),Rs.24999,4.551,456
Redmi Go (Black| 16 GB),Rs.4499,4.31,51,863
Product_Name, Pricing, Ratings 
Redmi K20 (Glacier Blue| 128 GB),Rs.22999,4.543,127
Redmi Note 5 Pro (Gold| 64 GB),Rs.13999,4.52,51,622
Redmi Note 6 Pro (Red| 64 GB),Rs.11999,4.56,07,562
Redmi K20 (Flame Red| 128 GB),Rs.22999,4.543,127
Redmi Note 7 Pro (Astro Moonlight White| 64 GB),Rs.10499,4.57,66,036
Redmi 7 (Comet Blue| 32 GB),Rs.9190,4.46,101
Mi Mix 2 (Black| 128 GB),Rs.29999,4.44,170
Redmi 5 (Lake Blue| 64 GB),Rs.8299,4.34,393
MI3 (Metallic Grey| 16 GB),Rs.13999No Cost ,4.414,913
Redmi Y2 (Blue| 32 GB),Rs.8999,4.51,14,384
Redmi 8 (Onyx Black| 64 GB),Rs.7999,4.44,11,778
Redmi 8 (Ruby Red| 64 GB),Rs.7999,4.44,11,778
Redmi 8 (Emerald Green| 64 GB),Rs.7999,4.44,11,778
Redmi 7A (Matte Gold| 32 GB),Rs.6199,4.33,41,822
Redmi 8A (Sunset Red| 32 GB),Rs.6499,4.41,08,086
Redmi Y3 (Bold Red| 32 GB),Rs.8252,4.317,897
Redmi 6A (Black| 32 GB),Rs.5345,4.350,270
Redmi 6A (Gold| 16 GB),Rs.5589,4.350,270
Redmi 7 (Eclipse Black| 32 GB),Rs.6998,4.312,582
Redmi 7 (Comet Blue| 32 GB),Rs.7995,4.312,582
Redmi 5 (Gold| 32 GB),Rs.7990,4.36,143
Redmi 5 (Black| 64 GB),Rs.8999,4.34,393
Redmi 7 (Lunar Red| 32 GB),Rs.7999,4.312,582
Redmi 6 (Gold| 64 GB),Rs.8499,4.45,38,925
